cnumber,ibu,abv,style,bcity
1,0.00,0.65,0.29501,0.23421
1,0.00,0.39,0.44583,0.23421
1,0.00,0.57,0.21484,0.23421
1,0.00,0.55,0.44583,0.23421
1,0.12,0.35,0.49598,0.09975
1,0.12,0.35,0.49598,0.09975
1,0.00,0.45,0.34410,0.07784
1,0.00,0.45,0.34410,0.07784
1,0.15,0.31,0.55751,0.07784
1,0.25,0.47,0.21017,0.07784
1,0.17,0.38,0.17396,0.07784
1,0.05,0.35,0.10891,0.13269
1,0.00,0.51,0.52939,0.13269
1,0.19,0.39,0.14150,0.13269
1,0.26,0.39,0.07331,0.13269
1,0.19,0.51,0.56246,0.13269
1,0.00,0.59,0.44583,0.13269
1,0.40,0.31,0.44583,0.13269
1,0.00,0.70,0.29501,0.13269
1,0.14,0.34,0.17396,0.13508
1,0.00,0.65,0.52711,0.09943
1,0.33,0.56,0.44583,0.13610
1,0.22,0.47,0.34410,0.13610
1,0.00,0.47,0.17396,0.13610
1,0.22,0.49,0.17396,0.06167
1,0.17,0.34,0.10891,0.17160
1,0.00,0.35,0.16544,0.17160
1,0.00,0.43,0.56246,0.17160
1,0.25,0.43,0.07331,0.28929
1,0.22,0.52,0.21484,0.28929
1,0.19,0.33,0.21484,0.21051
1,0.33,0.45,0.44583,0.21051
1,0.10,0.38,0.49598,0.40414
1,0.00,0.44,0.10891,0.26460
1,0.00,0.47,0.34410,0.26460
1,0.17,0.51,0.52939,0.41803
1,0.08,0.39,0.16544,0.41803
1,0.20,0.36,0.10891,0.41803
1,0.00,0.00,0.39309,0.02198
1,0.00,0.43,0.21017,0.02198
1,0.00,0.47,0.44583,0.02198
1,0.14,0.45,0.02292,0.20046
1,0.17,0.43,0.07331,0.20046
1,0.00,0.00,0.02077,0.50101
1,0.22,0.52,0.42990,0.00436
1,0.21,0.38,0.27293,0.00436
1,0.00,0.53,0.44583,0.37052
1,0.00,0.39,0.56246,0.37052
1,0.00,0.39,0.07331,0.34808
1,0.00,0.40,0.27293,0.41289
1,0.00,0.45,0.44583,0.41289
1,0.00,0.39,0.56246,0.41289
1,0.00,0.45,0.02077,0.41289
1,0.22,0.36,0.56246,0.17209
1,0.24,0.56,0.34732,0.17209
1,0.06,0.31,0.16544,0.17209
1,0.22,0.36,0.34732,0.17209
1,0.06,0.36,0.06278,0.15175
1,0.15,0.38,0.60787,0.15175
1,0.00,0.43,0.44583,0.15175
1,0.00,0.35,0.44583,0.15175
1,0.40,0.44,0.07331,0.13409
1,0.22,0.41,0.14557,0.32046
1,0.00,0.77,0.46637,0.20565
1,0.00,0.66,0.52939,0.20565
1,0.14,0.62,0.16544,0.20565
1,0.09,0.37,0.27293,0.20565
1,0.22,0.47,0.56246,0.20565
1,0.15,0.40,0.16544,0.38496
1,0.15,0.40,0.16544,0.38496
1,0.00,0.33,0.60787,0.17142
1,0.00,0.51,0.44583,0.17142
1,0.00,0.33,0.60787,0.17142
1,0.00,0.35,0.56246,0.17142
1,0.00,0.56,0.44583,0.35813
1,0.00,0.77,0.46564,0.35813
1,0.00,0.76,0.46637,0.35813
1,0.00,0.40,0.60787,0.03381
1,0.00,0.35,0.47746,0.03381
1,0.00,0.35,0.47746,0.03381
1,0.00,0.38,0.49598,0.03381
1,0.00,0.37,0.16544,0.03381
1,0.00,0.47,0.44583,0.03381
1,0.00,0.37,0.10891,0.03381
1,0.00,0.54,0.52088,0.00482
1,0.00,0.54,0.52088,0.00482
1,0.00,0.54,0.52088,0.00482
1,0.20,0.41,0.21017,0.09943
1,0.17,0.41,0.56246,0.09943
1,0.22,0.49,0.17396,0.06167
1,0.21,0.45,0.27293,0.06167
1,0.18,0.40,0.56246,0.26460
1,0.15,0.51,0.21484,0.26460
1,0.00,0.72,0.55751,0.26460
1,0.18,0.40,0.56246,0.26460
1,0.00,0.77,0.34168,0.48049
1,0.00,0.42,0.18808,0.48049
1,0.00,0.39,0.22714,0.48049
1,0.00,0.43,0.22714,0.48049
1,0.00,0.39,0.22714,0.48049
1,0.00,0.39,0.45666,0.06167
1,0.00,0.31,0.10891,0.43430
1,0.00,0.31,0.44583,0.43430
1,0.22,0.43,0.21484,0.06167
1,0.34,0.37,0.10891,0.06167
1,0.29,0.45,0.14557,0.06167
1,0.00,0.68,0.46637,0.06167
1,0.16,0.41,0.17396,0.32628
1,0.00,0.66,0.55751,0.10690
1,0.00,0.56,0.44583,0.10690
1,0.00,0.33,0.47746,0.10690
1,0.00,0.66,0.55751,0.10690
1,0.00,0.39,0.31309,0.47701
1,0.11,0.41,0.10891,0.47701
1,0.09,0.48,0.14150,0.28489
1,0.29,0.35,0.44583,0.19382
1,0.22,0.39,0.49598,0.19382
1,0.16,0.44,0.02292,0.19382
1,0.00,0.38,0.07331,0.19382
1,0.00,0.43,0.31309,0.19382
