cnumber,ibu,abv,style,bcity
Шум,0.12,0.55,0.21017,0.13182
Шум,0.06,0.35,0.43261,0.64644
Шум,0.33,0.51,0.44583,0.64644
Шум,0.00,0.43,0.55751,0.64644
Шум,0.00,0.44,0.18808,0.64644
Шум,0.22,0.38,0.95766,0.64644
Шум,0.22,0.38,0.95766,0.64644
Шум,0.12,0.41,0.34410,0.64644
Шум,0.06,0.41,0.10891,0.64644
Шум,0.22,0.38,0.95766,0.64644
Шум,0.26,0.38,0.92735,0.00775
Шум,0.26,0.45,0.92735,0.00775
Шум,0.26,0.38,0.92735,0.00775
Шум,0.58,0.48,0.44583,0.88700
Шум,0.00,0.51,0.92735,0.79673
Шум,0.00,0.45,0.44583,0.79673
Шум,0.00,0.37,0.28837,0.79673
Шум,0.38,0.47,0.21017,0.91402
Шум,0.38,0.45,0.21017,0.91402
Шум,0.58,0.55,0.44583,0.91402
Шум,0.19,0.47,0.94546,0.91402
Шум,0.00,0.43,0.56246,0.91402
Шум,0.29,0.41,0.56246,0.70769
Шум,0.00,0.39,0.27293,0.72720
Шум,0.07,0.33,0.10891,0.23421
Шум,0.12,0.35,0.10891,0.23421
Шум,0.50,0.48,0.44583,0.23421
Шум,0.14,0.42,0.56246,0.23421
Шум,0.00,0.39,0.16544,0.56595
Шум,0.16,0.39,0.03435,0.56595
Шум,0.21,0.43,0.10891,0.56595
Шум,0.00,0.41,0.56246,0.59481
Шум,0.00,0.52,0.21484,0.12280
Шум,0.00,0.47,0.45666,0.12280
Шум,0.00,0.77,0.59215,0.12280
Шум,0.00,0.47,0.44583,0.12280
Шум,0.00,0.55,0.10663,0.12280
Шум,0.00,0.60,0.12336,0.12280
Шум,0.00,0.51,0.75229,0.12280
Шум,0.00,0.51,0.21484,0.12280
Шум,0.00,0.39,0.75229,0.12280
Шум,0.00,0.70,0.21484,0.12280
Шум,0.00,0.43,0.75229,0.12280
Шум,0.00,0.46,0.21484,0.12280
